Pr1,Pr2,Pr3,FA1,FA2,FA3,FI1,FI2,FI3,CONDITION
3,2,3,2,2,2,2,2,2,H
2,1,3,3,2,2,2,2,2,H
4,4,4,4,4,4,4,4,4,H
3,3,3,3,3,3,3,3,2,H
3,3,3,3,3,3,3,4,3,H
3,3,3,3,3,3,2,2,2,H
4,2,3,3,3,3,3,3,4,H
3,4,4,4,3,3,4,3,4,H
4,3,3,3,3,3,2,3,2,H
3,1,2,2,1,2,2,2,2,H
2,2,1,0,2,2,2,3,3,H
3,3,3,3,3,3,3,3,3,H
1,1,1,0,1,1,0,1,1,H
4,3,4,2,3,3,2,3,2,H
3,3,3,3,3,3,2,2,2,H
0,1,1,1,3,1,3,3,3,H
3,1,3,2,0,0,1,1,1,H
4,3,4,3,4,4,3,3,3,H
3,3,4,3,3,3,3,3,3,H
2,3,2,2,2,3,3,3,3,H
3,3,4,3,3,3,2,3,2,H
2,2,2,1,2,3,0,1,1,H
1,3,3,1,2,2,2,4,2,H
2,0,2,0,2,2,1,1,1,H
3,3,3,2,3,3,3,3,2,H
1,1,1,1,2,1,1,1,1,H
2,2,1,2,2,2,2,1,1,H
4,4,4,4,4,4,4,4,4,H
2,2,2,1,3,2,3,3,3,H
4,3,3,4,4,4,4,4,4,H
3,2,2,1,2,2,1,1,2,H
3,2,2,1,2,2,1,1,2,H
3,2,2,1,3,3,1,2,3,H
4,4,4,3,4,4,3,4,3,H
3,2,3,2,3,3,2,2,2,H
3,2,3,2,3,3,2,2,2,H
3,3,3,3,3,3,4,4,4,H
2,0,1,0,3,0,0,1,0,H
1,3,0,1,0,1,2,2,3,H
2,2,2,1,1,3,3,2,2,H
4,3,4,3,3,4,4,3,3,H
4,2,3,2,4,4,3,3,3,H
4,3,3,3,3,4,4,4,3,H
2,2,4,1,1,2,2,2,3,H
3,2,3,3,3,3,3,4,4,H
2,1,2,1,1,1,1,2,1,H
2,3,4,2,3,4,1,3,1,H
2,3,4,3,3,3,3,3,3,H
3,3,3,0,3,3,1,2,3,H
1,0,1,0,1,1,0,0,0,H
2,2,2,1,2,2,2,2,2,H
2,2,2,1,2,2,2,2,2,H
3,2,3,3,2,3,2,2,3,H
2,3,2,3,3,3,2,3,2,H
1,0,1,0,1,1,2,2,1,H
3,2,3,3,3,4,1,3,1,H
3,2,3,3,3,3,3,3,2,H
3,3,3,3,3,3,2,2,2,H
1,0,0,2,2,2,2,2,2,H
1,1,0,0,2,2,0,0,0,H
1,1,1,1,1,1,1,1,1,H
3,3,3,2,3,3,2,3,2,H
2,1,1,1,1,2,0,0,0,H
2,1,2,0,1,1,0,1,1,H
1,2,1,1,1,2,2,2,2,H
1,1,1,0,3,3,0,1,1,H
3,2,3,1,1,1,0,3,3,H
3,3,2,3,3,3,2,2,2,H
4,3,3,3,4,3,2,3,1,D
4,4,4,4,4,4,4,0,4,D
4,4,4,3,4,3,4,4,4,D
4,3,4,3,3,4,4,3,3,D
4,4,4,4,4,4,4,4,4,D
3,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,3,3,3,3,4,3,3,D
4,4,4,4,4,4,4,4,4,D
4,4,4,2,4,4,4,4,4,D
3,3,4,3,4,3,3,3,3,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,3,4,D
3,3,3,4,3,4,4,4,4,D
4,4,3,3,4,4,4,4,4,D
1,2,2,2,0,0,2,2,2,D
4,4,4,4,4,1,4,4,4,D
3,4,3,2,3,3,4,4,4,D
2,3,4,3,4,4,4,4,4,D
4,4,3,4,4,4,4,4,3,D
3,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,1,3,D
4,4,4,4,4,4,4,4,4,D
3,4,4,4,3,4,4,4,3,D
3,4,4,4,4,4,0,3,3,D
4,4,4,4,4,4,4,4,4,D
3,4,4,4,3,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,3,3,3,4,4,4,3,D
4,4,4,4,4,3,4,4,3,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
3,4,4,4,4,4,4,4,3,D
3,4,4,4,4,3,4,4,4,D
3,3,3,3,3,4,3,3,3,D
4,4,4,4,4,4,3,3,3,D
3,3,3,3,3,3,2,2,1,D
4,4,4,4,3,3,3,4,3,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
3,4,3,3,4,4,4,3,3,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,3,4,4,4,4,4,D
4,4,4,3,4,3,3,4,3,D
3,4,3,3,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,3,4,4,4,4,4,4,D
4,4,4,4,4,3,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,3,3,3,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,3,4,4,3,4,4,4,D
3,4,4,2,4,4,4,4,4,D
3,4,3,4,4,4,3,4,3,D
4,4,4,4,4,4,4,4,4,D
3,4,4,3,3,3,4,4,4,D
4,4,4,3,4,3,3,4,4,D
4,4,4,4,4,4,4,4,4,D
3,4,3,4,4,4,4,3,3,D
4,4,4,3,4,4,4,4,4,D
4,4,4,4,4,4,3,4,3,D
4,4,3,4,4,3,4,4,4,D
4,4,4,4,4,4,4,4,4,D
0,4,1,4,1,1,4,4,4,D
3,4,3,4,4,3,3,4,3,D
2,3,3,4,4,3,4,3,2,D
4,3,3,3,4,4,4,4,4,D
4,4,4,3,3,3,4,4,3,D
4,4,4,4,4,4,4,4,4,D
3,3,4,4,4,3,4,3,3,D
4,4,3,3,4,4,3,3,4,D
3,3,4,4,4,4,4,4,4,D
3,3,4,3,4,4,3,4,3,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
3,4,4,3,4,4,3,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
2,4,4,4,3,3,3,3,2,D
3,3,3,3,4,3,3,3,3,D
4,4,4,4,4,4,4,4,4,D
4,4,3,3,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,3,3,3,3,3,3,4,3,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,3,4,4,3,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,3,3,3,4,3,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
3,4,4,3,4,4,4,4,3,D
3,3,4,3,3,3,3,3,3,D
4,4,4,3,4,3,4,4,4,D
4,4,4,3,4,4,3,3,4,D
3,4,3,3,4,3,3,3,3,D
4,4,4,3,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,3,4,4,4,D
2,3,2,3,2,3,3,3,3,D
4,4,3,3,3,2,4,3,3,D
3,3,3,3,4,4,2,3,3,D
4,4,4,4,4,4,4,4,4,D
3,4,3,2,4,4,3,3,3,D
4,4,3,4,4,4,4,4,3,D
4,4,4,4,4,4,4,4,4,D
4,4,4,4,4,4,4,4,4,D
3,4,4,4,4,4,4,4,3,D
3,3,3,3,3,3,4,3,4,D
4,4,4,3,4,4,4,4,4,D
